Hostname,IP Address,Status,Hypervisor,CPU Cores,Memory (GB),StatusCount
CortSampleNutanix00000,107.153.236.48,running,ESXi,8,26,18
CortSampleNutanix00001,8.241.169.173,stopped,ESXi,4,9,17
CortSampleNutanix00002,221.43.214.108,error,Hyper-V,11,44,15
CortSampleNutanix00003,91.218.0.44,running,Hyper-V,11,29,18
CortSampleNutanix00004,9.166.107.169,running,Hyper-V,5,61,18
CortSampleNutanix00005,42.106.130.177,running,Hyper-V,12,8,18
CortSampleNutanix00006,130.154.141.238,stopped,Hyper-V,10,54,17
CortSampleNutanix00007,56.54.134.33,error,ESXi,14,33,15
CortSampleNutanix00008,160.128.192.48,error,Hyper-V,7,52,15
CortSampleNutanix00009,57.170.34.232,running,ESXi,5,64,18
CortSampleNutanix00010,99.9.37.8,error,ESXi,11,15,15
CortSampleNutanix00011,35.113.33.210,error,ESXi,15,30,15
CortSampleNutanix00012,200.144.17.18,running,Hyper-V,12,37,18
CortSampleNutanix00013,186.109.250.111,stopped,ESXi,14,53,17
CortSampleNutanix00014,26.239.139.139,error,Hyper-V,9,10,15
CortSampleNutanix00015,113.230.82.165,stopped,Hyper-V,14,63,17
CortSampleNutanix00016,93.227.167.7,error,Hyper-V,4,25,15
CortSampleNutanix00017,188.82.36.147,stopped,ESXi,11,13,17
CortSampleNutanix00018,59.28.253.175,stopped,Hyper-V,11,24,17
CortSampleNutanix00019,125.144.251.111,running,Hyper-V,14,47,18
CortSampleNutanix00020,193.22.232.171,running,ESXi,6,29,18
CortSampleNutanix00021,184.75.8.57,running,ESXi,16,62,18
CortSampleNutanix00022,188.78.75.38,stopped,Hyper-V,16,18,17
CortSampleNutanix00023,26.91.9.28,error,ESXi,5,30,15
CortSampleNutanix00024,25.177.61.43,stopped,ESXi,10,14,17
CortSampleNutanix00025,192.52.2.192,running,ESXi,16,28,18
CortSampleNutanix00026,65.221.232.146,error,Hyper-V,10,15,15
CortSampleNutanix00027,79.232.166.12,running,ESXi,13,55,18
CortSampleNutanix00028,29.18.51.131,error,ESXi,5,60,15
CortSampleNutanix00029,125.23.183.46,error,ESXi,15,58,15
CortSampleNutanix00030,7.162.100.248,stopped,ESXi,6,12,17
CortSampleNutanix00031,123.191.208.108,stopped,Hyper-V,5,34,17
CortSampleNutanix00032,151.91.201.185,running,ESXi,4,13,18
CortSampleNutanix00033,31.238.223.159,stopped,Hyper-V,9,50,17
CortSampleNutanix00034,162.149.253.187,stopped,ESXi,10,38,17
CortSampleNutanix00035,209.2.216.125,running,Hyper-V,15,36,18
CortSampleNutanix00036,89.70.187.91,running,Hyper-V,12,23,18
CortSampleNutanix00037,57.16.138.49,error,Hyper-V,14,47,15
CortSampleNutanix00038,207.142.55.25,error,Hyper-V,9,45,15
CortSampleNutanix00039,223.125.138.64,error,Hyper-V,9,28,15
CortSampleNutanix00040,166.235.32.104,running,Hyper-V,8,22,18
CortSampleNutanix00041,148.138.156.132,error,ESXi,13,44,15
CortSampleNutanix00042,203.33.62.168,stopped,ESXi,6,25,17
CortSampleNutanix00043,53.129.113.192,stopped,Hyper-V,12,62,17
CortSampleNutanix00044,194.242.111.173,running,Hyper-V,9,19,18
CortSampleNutanix00045,181.240.136.149,stopped,ESXi,16,24,17
CortSampleNutanix00046,181.89.15.91,running,Hyper-V,6,34,18
CortSampleNutanix00047,183.81.112.221,running,Hyper-V,16,45,18
CortSampleNutanix00048,193.148.69.116,stopped,ESXi,7,20,17
CortSampleNutanix00049,204.77.115.17,stopped,ESXi,14,23,17
